,src_metric,scope,host,time,raw_value
214,system.cpu.idle,*,*,1616724600000,98.2079568862915
215,system.cpu.idle,*,*,1616725200000,99.37748432159424
216,system.cpu.idle,*,*,1616725800000,99.2007230758667
217,system.cpu.idle,*,*,1616726400000,99.22620754241943
218,system.cpu.idle,*,*,1616727000000,99.19442571004232
219,system.cpu.idle,*,*,1616727600000,98.97584743499756
220,system.cpu.idle,*,*,1616728200000,98.30830230712891
221,system.cpu.idle,*,*,1616728800000,99.37123572031656
222,system.cpu.idle,*,*,1616729400000,99.40607528686523
223,system.cpu.idle,*,*,1616730000000,99.4110710144043
224,system.cpu.idle,*,*,1616730600000,99.34244225819906
225,system.cpu.idle,*,*,1616731200000,99.36043249766031
226,system.cpu.idle,*,*,1616731800000,99.2290168762207
227,system.cpu.idle,*,*,1616732400000,99.43380082448324
228,system.cpu.idle,*,*,1616733000000,99.40300369262695
229,system.cpu.idle,*,*,1616733600000,99.43218479156494
230,system.cpu.idle,*,*,1616734200000,99.42294076283773
231,system.cpu.idle,*,*,1616734800000,99.7371374130249
232,system.cpu.idle,*,*,1616735400000,99.79941482543946
233,system.cpu.idle,*,*,1616736000000,99.853404490153
234,system.cpu.idle,*,*,1616736600000,99.85187505086263
235,system.cpu.idle,*,*,1616737200000,99.85640252431234
236,system.cpu.idle,*,*,1616737800000,99.85799732208253
237,system.cpu.idle,*,*,1616738400000,99.82619800567628
238,system.cpu.idle,*,*,1616739000000,99.84710744222005
239,system.cpu.idle,*,*,1616739600000,99.2891705195109
240,system.cpu.idle,*,*,1616740200000,99.81907335917155
241,system.cpu.idle,*,*,1616740800000,99.85709896087647
242,system.cpu.idle,*,*,1616741400000,99.86190338134766
243,system.cpu.idle,*,*,1616742000000,99.82808392842611
244,system.cpu.idle,*,*,1616742600000,99.86141586303711
245,system.cpu.idle,*,*,1616743200000,99.80077838897705
246,system.cpu.idle,*,*,1616743800000,99.82641258239747
247,system.cpu.idle,*,*,1616744400000,99.82951984405517
248,system.cpu.idle,*,*,1616745000000,99.83758824666342
249,system.cpu.idle,*,*,1616745600000,99.75833632151286
250,system.cpu.idle,*,*,1616746200000,99.81835301717122
251,system.cpu.idle,*,*,1616746800000,99.84292271931966
252,system.cpu.idle,*,*,1616747400000,99.82919057210286
253,system.cpu.idle,*,*,1616748000000,99.82419160207112
254,system.cpu.idle,*,*,1616748600000,99.83969841003417
255,system.cpu.idle,*,*,1616749200000,99.81388829549154
256,system.cpu.idle,*,*,1616749800000,99.85878582000733
257,system.cpu.idle,*,*,1616750400000,99.82847429911295
258,system.cpu.idle,*,*,1616751000000,99.86104812622071
259,system.cpu.idle,*,*,1616751600000,99.78539969126383
260,system.cpu.idle,*,*,1616752200000,99.69990533192953
261,system.cpu.idle,*,*,1616752800000,98.44882717132569
262,system.cpu.idle,*,*,1616753400000,99.6319211324056
263,system.cpu.idle,*,*,1616754000000,99.75029977162679
264,system.cpu.idle,*,*,1616754600000,99.80217463175455
265,system.cpu.idle,*,*,1616755200000,99.58584403991699
266,system.cpu.idle,*,*,1616755800000,99.66037712097167
267,system.cpu.idle,*,*,1616756400000,99.171763865153
268,system.cpu.idle,*,*,1616757000000,98.66284516652425
269,system.cpu.idle,*,*,1616757600000,97.69168618520101
270,system.cpu.idle,*,*,1616758200000,96.03895613352458
271,system.cpu.idle,*,*,1616758800000,96.33689963022867
272,system.cpu.idle,*,*,1616759400000,95.09108549753824
273,system.cpu.idle,*,*,1616760000000,95.70035127003987
274,system.cpu.idle,*,*,1616760600000,97.14745686848958
275,system.cpu.idle,*,*,1616761200000,96.10445340474446
276,system.cpu.idle,*,*,1616761800000,94.45305576324463
277,system.cpu.idle,*,*,1616762400000,96.02228139241537
278,system.cpu.idle,*,*,1616763000000,96.81567103068033
279,system.cpu.idle,*,*,1616763600000,96.12254530588785
280,system.cpu.idle,*,*,1616764200000,96.16546300252278
281,system.cpu.idle,*,*,1616764800000,95.46194636027018
282,system.cpu.idle,*,*,1616765400000,95.89274196624756
283,system.cpu.idle,*,*,1616766000000,94.23656616210937
284,system.cpu.idle,*,*,1616766600000,94.13546689351399
285,system.cpu.idle,*,*,1616767200000,92.3586062113444
286,system.cpu.idle,*,*,1616767800000,95.97256196339926
287,system.cpu.idle,*,*,1616768400000,93.27151026624314
